fecha,anio,mes,linea,afluencia
2005-07-27,2005,Julio,Línea 1,230465.0
2005-07-28,2005,Julio,Línea 1,237296.0
2005-07-29,2005,Julio,Línea 1,258356.0
2005-07-30,2005,Julio,Línea 1,159470.0
2005-07-31,2005,Julio,Línea 1,104834.0
2005-08-01,2005,Agosto,Línea 1,262284.0
2005-08-02,2005,Agosto,Línea 1,231380.0
2005-08-03,2005,Agosto,Línea 1,255913.0
2005-08-04,2005,Agosto,Línea 1,262391.0
2005-08-05,2005,Agosto,Línea 1,255451.0
2005-08-06,2005,Agosto,Línea 1,150359.0
2005-08-07,2005,Agosto,Línea 1,92772.0
2005-08-08,2005,Agosto,Línea 1,243225.0
2005-08-09,2005,Agosto,Línea 1,231392.0
2005-08-10,2005,Agosto,Línea 1,266176.0
2005-08-11,2005,Agosto,Línea 1,237619.0
2005-08-12,2005,Agosto,Línea 1,266437.0
2005-08-13,2005,Agosto,Línea 1,166912.0
2005-08-14,2005,Agosto,Línea 1,101768.0
2005-08-15,2005,Agosto,Línea 1,264223.0
2005-08-16,2005,Agosto,Línea 1,257282.0
2005-08-17,2005,Agosto,Línea 1,273564.0
2005-08-18,2005,Agosto,Línea 1,265590.0
2005-08-19,2005,Agosto,Línea 1,279058.0
2005-08-20,2005,Agosto,Línea 1,150914.0
2005-08-21,2005,Agosto,Línea 1,106369.0
2005-08-22,2005,Agosto,Línea 1,248816.0
2005-08-23,2005,Agosto,Línea 1,241732.0
2005-08-24,2005,Agosto,Línea 1,271417.0
2005-08-25,2005,Agosto,Línea 1,237583.0
2005-08-26,2005,Agosto,Línea 1,277061.0
2005-08-27,2005,Agosto,Línea 1,146053.0
2005-08-28,2005,Agosto,Línea 1,104760.0
2005-08-29,2005,Agosto,Línea 1,257559.0
2005-08-30,2005,Agosto,Línea 1,269336.0
2005-08-31,2005,Agosto,Línea 1,264626.0
2005-09-01,2005,Septiembre,Línea 1,264803.0
2005-09-02,2005,Septiembre,Línea 1,279346.0
2005-09-03,2005,Septiembre,Línea 1,149127.0
2005-09-04,2005,Septiembre,Línea 1,103497.0
2005-09-05,2005,Septiembre,Línea 1,249980.0
2005-09-06,2005,Septiembre,Línea 1,275915.0
2005-09-07,2005,Septiembre,Línea 1,263641.0
2005-09-08,2005,Septiembre,Línea 1,265408.0
2005-09-09,2005,Septiembre,Línea 1,263955.0
2005-09-10,2005,Septiembre,Línea 1,145220.0
2005-09-11,2005,Septiembre,Línea 1,124012.0
2005-09-12,2005,Septiembre,Línea 1,258336.0
2005-09-13,2005,Septiembre,Línea 1,260033.0
2005-09-14,2005,Septiembre,Línea 1,282737.0
2005-09-15,2005,Septiembre,Línea 1,237573.0
2005-09-16,2005,Septiembre,Línea 1,131751.0
2005-09-17,2005,Septiembre,Línea 1,77255.0
2005-09-18,2005,Septiembre,Línea 1,84272.0
2005-09-19,2005,Septiembre,Línea 1,255389.0
2005-09-20,2005,Septiembre,Línea 1,264266.0
2005-09-21,2005,Septiembre,Línea 1,268742.0
2005-09-22,2005,Septiembre,Línea 1,264906.0
2005-09-23,2005,Septiembre,Línea 1,262771.0
2005-09-24,2005,Septiembre,Línea 1,174079.0
2005-09-25,2005,Septiembre,Línea 1,99919.0
2005-09-26,2005,Septiembre,Línea 1,252055.0
2005-09-27,2005,Septiembre,Línea 1,261186.0
