route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
B_CMX03SL01,MB,SL01,París - Alameda Tacubaya (Servicio de Apoyo L1),3,,FFFFFF
B_CMX0200LB,METRO,B,Ciudad Azteca - Buenavista,1,118751,FFFFFF
B_CMX0200LA,METRO,A,Pantitlán - La Paz,1,A02D96,FFFFFF
B_CMX0200L9,METRO,9,Pantitlán - Tacubaya,1,512826,FFFFFF
B_CMX0200L8,METRO,8,Garibaldi - Constitución de 1917,1,118749,FFFFFF
B_CMX0200L7,METRO,7,El Rosario - Barranca del Muerto,1,E87511,FFFFFF
B_CMX0200L6,METRO,6,El Rosario - Martín Carrera,1,D81E05,FFFFFF
B_CMX0200L5,METRO,5,Politécnico - Pantitlán,1,F9D616,FFFFFF
B_CMX0200L4,METRO,4,Santa Anita - Martín Carrera,1,7FBCAA,FFFFFF
B_CMX0200L3,METRO,3,Indios verdes - Universidad,1,AD9B0C,FFFFFF
B_CMX0200L2,METRO,2,Cuatro Caminos - Tasqueña,1,0071C1,FFFFFF
B_CMX0300L7,MB,7,Indios Verdes - Campo Marte,3,116633,FFFFFF
B_CMX0300L6,MB,6,Villa de Aragón - El Rosario,3,E44599,FFFFFF
B_CMX0300L5,MB,5,Río de lo Remedios - Preparatoria 1,3,141982,FFFFFF
B_CMX0300L4,MB,4,Centro Histórico - Buenavista - San Lázaro/AICM T1 y T2/Pantitlán,3,FF9A03,FFFFFF
B_CMX0300L3,MB,3,Tenayuca - Pueblo Sta. Cruz Atoyac,3,7A9A01,FFFFFF
B_CMX0300L2,MB,2,Tepalcates - Tacubaya,3,8D1A96,FFFFFF
B_CMX0300L1,MB,1,Indios Verdes - El Caminero,3,D40D0D,FFFFFF
B_CMX0200L1,METRO,1,Pantitlán - Observatorio,1,F94F8E,FFFFFF
B_CMX020L12,METRO,L12,Tláhuac-Mixcoac,1,B99E51,FFFFFF
