trip_id,timepoint,stop_id,stop_sequence,arrival_time,departure_time
B_02100L1000_0,0,B_0200L1-OBSERVATORIO,1,00:00:00,00:00:00
B_02100L1000_0,0,B_0200L1-TACUBAYA,2,00:02:50,00:02:50
B_02100L1000_0,0,B_0200L1-JUANACATLAN,3,00:05:24,00:05:24
B_02100L1000_0,0,B_0200L1-CHAPULTEPEC,4,00:07:36,00:07:36
B_02100L1000_0,0,B_0200L1-SEVILLA,5,00:08:43,00:08:43
B_02100L1000_0,0,B_0200L1-INSURGENTES,6,00:10:22,00:10:22
B_02100L1000_0,0,B_0200L1-CUAUHTEMOC,7,00:12:13,00:12:13
B_02100L1000_0,0,B_0200L1-BALDERAS,8,00:13:18,00:13:18
B_02100L1000_0,0,B_0200L1-SALTODELAGUA,9,00:14:34,00:14:34
B_02100L1000_0,0,B_0200L1-ISABELLACA,10,00:15:43,00:15:43
B_02100L1000_0,0,B_0200L1-PINOSUAREZ,11,00:16:47,00:16:47
B_02100L1000_0,0,B_0200L1-MERCED,12,00:18:23,00:18:23
B_02100L1000_0,0,B_0200L1-CANDELARIA,13,00:20:04,00:20:04
B_02100L1000_0,0,B_0200L1-SANLAZARO,14,00:22:08,00:22:08
B_02100L1000_0,0,B_0200L1_MOCTEZUMA,15,00:23:19,00:23:19
B_02100L1000_0,0,B_0200L1-BALBUENA,16,00:24:57,00:24:57
B_02100L1000_0,0,B_0200L1-PTOAEREO,17,00:26:29,00:26:29
B_02100L1000_0,0,B_0200L1-GOMEZFARIAS,18,00:27:56,00:27:56
B_02100L1000_0,0,B_0200L1-ZARAGOZA,19,00:29:50,00:29:50
B_02100L1000_0,0,B_0200L1-PANTITLAN,20,00:32:38,00:32:38
B_02100L1000_1,0,B_0200L1-PANTITLAN,1,00:00:00,00:00:00
B_02100L1000_1,0,B_0200L1-ZARAGOZA,2,00:02:48,00:02:48
B_02100L1000_1,0,B_0200L1-GOMEZFARIAS,3,00:04:42,00:04:42
B_02100L1000_1,0,B_0200L1-PTOAEREO,4,00:06:09,00:06:09
B_02100L1000_1,0,B_0200L1-BALBUENA,5,00:07:41,00:07:41
B_02100L1000_1,0,B_0200L1_MOCTEZUMA,6,00:09:19,00:09:19
B_02100L1000_1,0,B_0200L1-SANLAZARO,7,00:10:30,00:10:30
B_02100L1000_1,0,B_0200L1-CANDELARIA,8,00:12:34,00:12:34
B_02100L1000_1,0,B_0200L1-MERCED,9,00:14:15,00:14:15
B_02100L1000_1,0,B_0200L1-PINOSUAREZ,10,00:15:51,00:15:51
B_02100L1000_1,0,B_0200L1-ISABELLACA,11,00:16:55,00:16:55
B_02100L1000_1,0,B_0200L1-SALTODELAGUA,12,00:18:04,00:18:04
B_02100L1000_1,0,B_0200L1-BALDERAS,13,00:19:20,00:19:20
B_02100L1000_1,0,B_0200L1-CUAUHTEMOC,14,00:20:25,00:20:25
B_02100L1000_1,0,B_0200L1-INSURGENTES,15,00:22:16,00:22:16
B_02100L1000_1,0,B_0200L1-SEVILLA,16,00:23:55,00:23:55
B_02100L1000_1,0,B_0200L1-CHAPULTEPEC,17,00:25:02,00:25:02
B_02100L1000_1,0,B_0200L1-JUANACATLAN,18,00:27:14,00:27:14
B_02100L1000_1,0,B_0200L1-TACUBAYA,19,00:29:48,00:29:48
B_02100L1000_1,0,B_0200L1-OBSERVATORIO,20,00:32:38,00:32:38
B_02100L2000_0,0,B_0200L2-CUATROCAMIN,1,00:00:00,00:00:00
B_02100L2000_0,0,B_0200L2-PANTEONES,2,00:03:19,00:03:19
B_02100L2000_0,0,B_0200L2-TACUBA,3,00:06:14,00:06:14
B_02100L2000_0,0,B_0200L2-CUITLAHUAC,4,00:07:38,00:07:38
B_02100L2000_0,0,B_0200L2-POPOTLA,5,00:09:06,00:09:06
B_02100L2000_0,0,B_0200L2-COLMILITAR,6,00:10:09,00:10:09
B_02100L2000_0,0,B_0200L2-NORMAL,7,00:11:29,00:11:29
B_02100L2000_0,0,B_0200L2-SANCOSME,8,00:12:53,00:12:53
B_02100L2000_0,0,B_0200L2-REVOLUCION,9,00:14:15,00:14:15
B_02100L2000_0,0,B_0200L2-HIDALGO,10,00:15:39,00:15:39
B_02100L2000_0,0,B_0200L2-BELLASARTES,11,00:16:46,00:16:46
B_02100L2000_0,0,B_0200L2-ALLENDE,12,00:17:42,00:17:42
B_02100L2000_0,0,B_0200L2-ZOCALO,13,00:19:05,00:19:05
B_02100L2000_0,0,B_0200L2-PINOSUAREZ,14,00:20:45,00:20:45
B_02100L2000_0,0,B_0200L2-SANANTONIO,15,00:22:33,00:22:33
B_02100L2000_0,0,B_0200L2-CHABACANO,16,00:23:58,00:23:58
B_02100L2000_0,0,B_0200L2-VIADUCTO,17,00:25:41,00:25:41
B_02100L2000_0,0,B_0200L2-XOLA,18,00:26:51,00:26:51
B_02100L2000_0,0,B_0200L2-VILLADECORT,19,00:28:26,00:28:26
B_02100L2000_0,0,B_0200L2-NATIVITAS,20,00:29:59,00:29:59
B_02100L2000_0,0,B_0200L2-PORTALES,21,00:32:05,00:32:05
B_02100L2000_0,0,B_0200L2-ERMITA,22,00:33:44,00:33:44
B_02100L2000_0,0,B_0200L2-GRALANAYA,23,00:35:34,00:35:34
B_02100L2000_0,0,B_0200L2-TASQUENA,24,00:38:21,00:38:21
B_02100L2000_1,0,B_0200L2-TASQUENA,1,00:00:00,00:00:00
B_02100L2000_1,0,B_0200L2-GRALANAYA,2,00:02:47,00:02:47
B_02100L2000_1,0,B_0200L2-ERMITA,3,00:04:37,00:04:37
B_02100L2000_1,0,B_0200L2-PORTALES,4,00:06:16,00:06:16
B_02100L2000_1,0,B_0200L2-NATIVITAS,5,00:08:22,00:08:22
B_02100L2000_1,0,B_0200L2-VILLADECORT,6,00:09:55,00:09:55
B_02100L2000_1,0,B_0200L2-XOLA,7,00:11:30,00:11:30
B_02100L2000_1,0,B_0200L2-VIADUCTO,8,00:12:40,00:12:40
B_02100L2000_1,0,B_0200L2-CHABACANO,9,00:14:23,00:14:23
B_02100L2000_1,0,B_0200L2-SANANTONIO,10,00:15:48,00:15:48
B_02100L2000_1,0,B_0200L2-PINOSUAREZ,11,00:17:36,00:17:36
B_02100L2000_1,0,B_0200L2-ZOCALO,12,00:19:16,00:19:16
B_02100L2000_1,0,B_0200L2-ALLENDE,13,00:20:39,00:20:39
B_02100L2000_1,0,B_0200L2-BELLASARTES,14,00:21:35,00:21:35
B_02100L2000_1,0,B_0200L2-HIDALGO,15,00:22:42,00:22:42
B_02100L2000_1,0,B_0200L2-REVOLUCION,16,00:24:06,00:24:06
B_02100L2000_1,0,B_0200L2-SANCOSME,17,00:25:28,00:25:28
B_02100L2000_1,0,B_0200L2-NORMAL,18,00:26:52,00:26:52
B_02100L2000_1,0,B_0200L2-COLMILITAR,19,00:28:12,00:28:12
B_02100L2000_1,0,B_0200L2-POPOTLA,20,00:29:15,00:29:15
B_02100L2000_1,0,B_0200L2-CUITLAHUAC,21,00:30:43,00:30:43
B_02100L2000_1,0,B_0200L2-TACUBA,22,00:32:07,00:32:07
B_02100L2000_1,0,B_0200L2-PANTEONES,23,00:35:02,00:35:02
B_02100L2000_1,0,B_0200L2-CUATROCAMIN,24,00:38:21,00:38:21
B_02100L3000_0,0,B_0200L3-INDIOSVERD,1,00:00:00,00:00:00
B_02100L3000_0,0,B_0200L3-DTVO18MARZO,2,00:02:25,00:02:25
B_02100L3000_0,0,B_0200L3-POTRERO,3,00:04:27,00:04:27
B_02100L3000_0,0,B_0200L3-LARAZA,4,00:06:40,00:06:40
B_02100L3000_0,0,B_0200L3-TLATELOLCO,5,00:09:39,00:09:39
B_02100L3000_0,0,B_0200L3-GUERRERO,6,00:11:47,00:11:47
B_02100L3000_0,0,B_0200L3-HIDALGO,7,00:13:18,00:13:18
B_02100L3000_0,0,B_0200L3-JUAREZ,8,00:14:09,00:14:09
B_02100L3000_0,0,B_0200L3-BALDERAS,9,00:15:33,00:15:33
B_02100L3000_0,0,B_0200L3-NINOSHEROES,10,00:16:59,00:16:59
B_02100L3000_0,0,B_0200L3-HOSPITALGRAL,11,00:18:24,00:18:24
B_02100L3000_0,0,B_0200L3-CENTROMEDICO,12,00:19:46,00:19:46
B_02100L3000_0,0,B_0200L3-ETIOPIA,13,00:22:10,00:22:10
B_02100L3000_0,0,B_0200L3-EUGENIA,14,00:24:09,00:24:09
B_02100L3000_0,0,B_0200L3-DIVISIONNTE,15,00:25:38,00:25:38
B_02100L3000_0,0,B_0200L3-ZAPATA,16,00:27:31,00:27:31
B_02100L3000_0,0,B_0200L3-COYOACAN,17,00:29:51,00:29:51
B_02100L3000_0,0,B_0200L3-VIVEROS,18,00:31:45,00:31:45
