stop_id,stop_name,stop_lat,stop_lon,zone_id,wheelchair_boarding
B_0300L4-20NOVIEMBR,20 de Noviembre,19.42932,-99.13402,0300L4-MSCIUDAD,1
B_0300L4-PINOSRZSR,Pino Suárez Sur,19.4261,-99.13421,0300L4-20NOVIEMBR,1
B_0300L4-SANPABLO,San Pablo,19.42558,-99.1307,0300L4-SANPABLO,1
B_0300L4-MSONORASUR,Mercado Sonora Sur,19.42311,-99.1267,0300L4-MSONORASUR,1
B_0300L7-GTACUI01,Glorieta Cuitláhuac,19.44742,-99.13578,0300L7-GTACUI01,1
B_0300L5-GANADEROS1,Ganaderos,19.35014,-99.11081,0300L5-GANADEROS1,1
B_0300L5-GANADEROS,Ganaderos,19.35014,-99.11095,0300L5-GANADEROS,1
B_0300L5-CHURUOTE1,Churubusco Oriente,19.37156,-99.10775,0300L5-CHURUOTE1,1
B_0300L5-CHURUOTE,Churubusco Oriente,19.37163,-99.10799,0300L5-CHURUOTE,1
B_0300L5-ACULCO1,Aculco,19.37491,-99.10789,0300L5-ACULCO1,1
B_0300L5-ACULCO,Aculco,19.37485,-99.10807,0300L5-ACULCO,1
B_0300L5-APATLACO1,Apatlaco,19.37808,-99.109,0300L5-APATLACO1,1
B_0300L5-APATLACO,Apatlaco,19.37805,-99.10915,0300L5-APATLACO,1
B_0300L5-CANALAPATLAC1,Canal de Apatlaco,19.38283,-99.11082,0300L5-CANALAPATLAC1,1
B_0300L5-CANALAPATLACO,Canal de Apatlaco,19.38281,-99.11095,0300L5-CANALAPATLACO,1
B_0300L5-COLBACH31,Colegio de Bachilleres 3,19.38632,-99.11163,0300L5-COLBACH31,1
B_0300L5-COLBACH3,Colegio de Bachilleres 3,19.38632,-99.11173,0300L5-COLBACH3,1
B_0300L5-RECREO1,Recreo,19.39379,-99.11357,0300L5-RECREO1,1
B_0300L5-RECREO,Recreo,19.39389,-99.11368,0300L5-RECREO,1
B_0300L5-MOCTEZUMA1,Moctezuma,19.42631,-99.11136,0300L5-MOCTEZUMA1,1
B_0300L5-MOCTEZUMA,Moctezuma,19.42606,-99.11144,0300L5-MOCTEZUMA,1
B_0300L5-SANLAZARO1,San Lázaro Sur,19.4304,-99.11533,0300L5-SANLAZARO1,1
B_0300L5-RIOCONSULADO1,Río Consulado,19.45359,-99.10834,0300L5-RIOCONSULADO1,1
B_0300L5-RIOCONSULADO,Río Consulado,19.45369,-99.10854,0300L5-RIOCONSULADO,1
B_0300L5-RIOSTACOLETA1,Río Santa Coleta,19.45599,-99.10741,0300L5-RIOSTACOLETA1,1
B_0300L5-RIOSTACOLETA,Río Santa Coleta,19.45608,-99.10756,0300L5-RIOSTACOLETA,1
B_0300L5-OTE1011,Oriente 101,19.46083,-99.10542,0300L5-OTE1011,1
B_0300L5-OTE101,Oriente 101,19.4609,-99.10568,0300L5-OTE101,1
B_0300L5-VICTORIA1,Victoria,19.4673,-99.10263,0300L5-VICTORIA1,1
B_0300L5-VICTORIA,Victoria,19.46742,-99.10291,0300L5-VICTORIA,1
B_0300L5-TALISMAN1,Talisman,19.471,-99.1011,0300L5-TALISMAN1,1
B_0300L5-TALISMAN,Talisman,19.47108,-99.10141,0300L5-TALISMAN,1
B_0300L5-RIOGPE1,Río de Guadalupe,19.47594,-99.09895,0300L5-RIOGPE1,1
B_0300L5-RIOGPE,Río de Guadalupe,19.47607,-99.0993,0300L5-RIOGPE,1
B_0300L5-SANJUANARAGO1,San Juan de Aragón,19.47984,-99.09731,0300L5-SANJUANARAGO1,1
B_0300L5-SANJUANARAGO,San Juan de Aragón,19.47996,-99.09772,0300L5-SANJUANARAGO,1
B_0300L5-PREPA31,Preparatoria 3,19.4833,-99.09583,0300L5-PREPA31,1
B_0300L5-PREPA3,Preparatoria 3,19.4836,-99.09618,0300L5-PREPA3,1
B_0300L5-COYOL1,El Coyol,19.48746,-99.09401,0300L5-COYOL1,1
B_0300L5-COYOL,El Coyol,19.48746,-99.09447,0300L5-COYOL,1
B_0300L5-VASCOQUIRO1,Vasco de Quiroga,19.4932,-99.09159,0300L5-VASCOQUIRO1,1
B_0300L5-VASCOQUIRO,Vasco de Quiroga,19.49335,-99.09202,0300L5-VASCOQUIRO,1
B_0300L5-5MAYO1,5 de Mayo,19.49699,-99.08996,0300L5-5MAYO1,1
B_0300L5-5MAYO,5 de Mayo,19.49716,-99.09044,0300L5-5MAYO,1
B_0300L5-NEWSDIVINE1,314 Memorial New's Divine,19.50053,-99.08847,0300L5-NEWSDIVINE1,1
B_0300L5-NEWSDIVINE,314 Memorial New's Divine,19.50088,-99.08891,0300L5-NEWSDIVINE,1
B_0300L3-STACRUZATOYAC,Pueblo Sta. Cruz Atoyac,19.37159,-99.16098,0300L3-STACRUZATOYAC,1
B_020L12-TLAHUAC,Tláhuac,19.28602,-99.0142,020L12-TLAHUAC,1
B_020L12-TLALTENCO,Tlaltenco,19.29435,-99.02403,020L12-TLALTENCO,1
B_020L12-ZAPOTITLAN,Zapotitlán,19.29666,-99.03431,020L12-ZAPOTITLAN,1
B_020L12-NOPALERA,Nopalera,19.29996,-99.04599,020L12-NOPALERA,1
B_020L12-OLIVOS,Olivos,19.30432,-99.05951,020L12-OLIVOS,1
B_020L12-TEZONCO,Tezonco,19.30631,-99.06527,020L12-TEZONCO,1
B_020L12-PERIFERICOOTE,Periférico Oriente,19.31761,-99.07451,020L12-PERIFERICOOTE,1
B_020L12-CALLE11,Calle 11,19.32047,-99.08587,020L12-CALLE11,1
B_020L12-LOMASESTRELLA,Lomas Estrella,19.32215,-99.09575,020L12-LOMASESTRELLA,1
B_020L12-SANANDRESTO,San Andrés Tomatlán,19.32815,-99.10452,020L12-SANANDRESTO,1
