route_id,service_id,trip_id,shape_id,trip_headsign,trip_short_name,direction_id
B_CMX0200L2,B_3,B_02300L2000_1,B_SH0200L2000_1,Cuatro Caminos,Línea 2 to Cuatro Caminos,1.0
B_CMX0200L2,B_3,B_02300L2000_0,B_SH0200L2000_0,Tasqueña,Línea 2 to Tasqueña,0.0
B_CMX0200L2,B_2,B_02200L2000_1,B_SH0200L2000_1,Cuatro Caminos,Línea 2 to Cuatro Caminos,1.0
B_CMX0200L2,B_2,B_02200L2000_0,B_SH0200L2000_0,Tasqueña,Línea 2 to Tasqueña,0.0
B_CMX0200L2,B_1,B_02100L2000_1,B_SH0200L2000_1,Cuatro Caminos,Línea 2 to Cuatro Caminos,1.0
B_CMX0200L2,B_1,B_02100L2000_0,B_SH0200L2000_0,Tasqueña,Línea 2 to Tasqueña,0.0
B_CMX0200L3,B_3,B_02300L3000_1,B_SH0200L3000_1,Indios Verdes,to Indios Verdes,1.0
B_CMX0200L3,B_3,B_02300L3000_0,B_SH0200L3000_0,Universidad,to Universidad,0.0
B_CMX0200L3,B_2,B_02200L3000_1,B_SH0200L3000_1,Indios Verdes,to Indios Verdes,1.0
B_CMX0200L3,B_2,B_02200L3000_0,B_SH0200L3000_0,Universidad,to Universidad,0.0
B_CMX0200L3,B_1,B_02100L3000_1,B_SH0200L3000_1,Indios Verdes,to Indios Verdes,1.0
B_CMX0200L3,B_1,B_02100L3000_0,B_SH0200L3000_0,Universidad,to Universidad,0.0
B_CMX0200L4,B_3,B_02300L4000_1,B_SH0200L4000_1,Santa Anita,to Santa Anita,1.0
B_CMX0200L4,B_3,B_02300L4000_0,B_SH0200L4000_0,Martín Carrera,to Martín Carrera,0.0
B_CMX0200L4,B_2,B_02200L4000_1,B_SH0200L4000_1,Santa Anita,to Santa Anita,1.0
B_CMX0200L4,B_2,B_02200L4000_0,B_SH0200L4000_0,Martín Carrera,to Martín Carrera,0.0
B_CMX0200L4,B_1,B_02100L4000_1,B_SH0200L4000_1,Santa Anita,to Santa Anita,1.0
B_CMX0200L4,B_1,B_02100L4000_0,B_SH0200L4000_0,Martín Carrera,to Martín Carrera,0.0
B_CMX0200L5,B_3,B_02300L5000_1,B_SH0200L5000_1,Politécnico,to Politécnico,1.0
B_CMX0200L5,B_3,B_02300L5000_0,B_SH0200L5000_0,Pantitlán,to Pantitlán,0.0
B_CMX0200L5,B_2,B_02200L5000_1,B_SH0200L5000_1,Politécnico,to Politécnico,1.0
B_CMX0200L5,B_2,B_02200L5000_0,B_SH0200L5000_0,Pantitlán,to Pantitlán,0.0
B_CMX0200L5,B_1,B_02100L5000_1,B_SH0200L5000_1,Politécnico,to Politécnico,1.0
B_CMX0200L5,B_1,B_02100L5000_0,B_SH0200L5000_0,Pantitlán,to Pantitlán,0.0
B_CMX0200L6,B_3,B_02300L6000_1,B_SH0200L6000_1,El Rosario,to El Rosario,1.0
B_CMX0200L6,B_3,B_02300L6000_0,B_SH0200L6000_0,Martín Carrera,to Martín Carrera,0.0
B_CMX0200L6,B_2,B_02200L6000_1,B_SH0200L6000_1,El Rosario,to El Rosario,1.0
B_CMX0200L6,B_2,B_02200L6000_0,B_SH0200L6000_0,Martín Carrera,to Martín Carrera,0.0
B_CMX0200L6,B_1,B_02100L6000_1,B_SH0200L6000_1,El Rosario,to El Rosario,1.0
B_CMX0200L6,B_1,B_02100L6000_0,B_SH0200L6000_0,Martín Carrera,to Martín Carrera,0.0
B_CMX0200L7,B_3,B_02300L7000_1,B_SH0200L7000_1,El Rosario,to El Rosario,1.0
B_CMX0200L7,B_3,B_02300L7000_0,B_SH0200L7000_0,Barranca del Muerto,to Barranca del Muerto,0.0
B_CMX0200L7,B_2,B_02200L7000_1,B_SH0200L7000_1,El Rosario,to El Rosario,1.0
B_CMX0200L7,B_2,B_02200L7000_0,B_SH0200L7000_0,Barranca del Muerto,to Barranca del Muerto,0.0
B_CMX0200L7,B_1,B_02100L7000_1,B_SH0200L7000_1,El Rosario,to El Rosario,1.0
B_CMX0200L7,B_1,B_02100L7000_0,B_SH0200L7000_0,Barranca del Muerto,to Barranca del Muerto,0.0
B_CMX0200L8,B_3,B_02300L8000_1,B_SH0200L8000_1,Garibaldi/Lagunilla,to Garibaldi/Lagunilla,1.0
B_CMX0200L8,B_3,B_02300L8000_0,B_SH0200L8000_0,Constitución de 1917,to Constitución de 1917,0.0
B_CMX0200L8,B_2,B_02200L8000_1,B_SH0200L8000_1,Garibaldi/Lagunilla,to Garibaldi/Lagunilla,1.0
B_CMX0200L8,B_2,B_02200L8000_0,B_SH0200L8000_0,Constitución de 1917,to Constitución de 1917,0.0
B_CMX0200L8,B_1,B_02100L8000_1,B_SH0200L8000_1,Garibaldi/Lagunilla,to Garibaldi/Lagunilla,1.0
B_CMX0200L8,B_1,B_02100L8000_0,B_SH0200L8000_0,Constitución de 1917,to Constitución de 1917,0.0
B_CMX0200LA,B_3,B_02300LA000_1,B_SH0200LA000_1,Pantitlán,to Pantitlán,1.0
B_CMX0200LA,B_3,B_02300LA000_0,B_SH0200LA000_0,La Paz,to La Paz,0.0
B_CMX0200LA,B_2,B_02200LA000_1,B_SH0200LA000_1,Pantitlán,to Pantitlán,1.0
B_CMX0200LA,B_2,B_02200LA000_0,B_SH0200LA000_0,La Paz,to La Paz,0.0
B_CMX0200LA,B_1,B_02100LA000_1,B_SH0200LA000_1,Pantitlán,to Pantitlán,1.0
B_CMX0200LA,B_1,B_02100LA000_0,B_SH0200LA000_0,La Paz,to La Paz,0.0
B_CMX0200LB,B_3,B_02300LB000_1,B_SH0200LB000_1,Buenavista,to Buenavista,1.0
B_CMX0200LB,B_3,B_02300LB000_0,B_SH0200LB000_0,Ciudad Azteca,to Ciudad Azteca,0.0
B_CMX0200LB,B_2,B_02200LB000_1,B_SH0200LB000_1,Buenavista,to Buenavista,1.0
B_CMX0200LB,B_2,B_02200LB000_0,B_SH0200LB000_0,Ciudad Azteca,to Ciudad Azteca,0.0
B_CMX0200LB,B_1,B_02100LB000_1,B_SH0200LB000_1,Buenavista,to Buenavista,1.0
