linea,nombre,lat,lon
1,Ciudad Azteca,,
1,Quinto Sol,,
1,Josefa Ortíz,,
1,Industrial,,
1,Unitec,,
1,Torres,,
1,Zodiaco,,
1,Adolfo López Mateos,,
1,Vocacional 3,,
1,Valle De Ecatepec,,
1,Las Américas,,
1,Primero De Mayo,,
1,Hospital Las Américas,19.5952321,-99.019663
1,Aquiles Serdán,,
1,Jardines De Morelos,,
1,Palomas,,
1,19 De Septiembre,,
1,Central De Abasto,,
1,Las Torres,,
1,Hidalgo,,
1,Cuauhtémoc Sur,,
1,Cuauhtémoc Norte,,
1,Esmeralda,,
1,Ojo De Agua,,
1A_AIFA,Ojo de Agua,,
1A_AIFA,Loma Bonita,19.6683038,-99.0039872
1A_AIFA,Ozumbilla,19.6807748,-98.9955864
1A_AIFA,San Francisco,19.688488,-98.9882816
1A_AIFA,Tecámac,19.7114831,-98.9749544
1A_AIFA,Glorieta Militar,19.749264,-98.9777656
1A_AIFA,Combustibles,19.7624393,-98.993026
1A_AIFA,Hacienda,19.7538666,-99.0035093
1A_AIFA,Terminal de Pasajeros AIFA,,
2,La Quebrada,,
2,ERO Estación Retorno Oriente,,
2,Lechería,,
2,Vidriera,,
2,Ciudad Labor,,
2,Chilpan,,
2,Recursos Hidráulicos,,
2,COCEM,,
2,Buenavista,,
2,Bandera Tultitlán,,
2,Bello Horizonte,,
2,Cartagena,,
2,De la Cruz San Mateo,,
2,Fuentes del Valle,,
2,Mariscala Real del Bosque,,
2,Villas de San José,,
2,Santa María,,
2,Coacalco Berriozábal,,
2,Bosques del Valle,,
2,Ex Hacienda San Felipe,,
2,Coacalco Tultepec,,
2,Héroes Canosas,,
2,San Francisco,19.688488,-98.9882816
2,Las Flores Zacuatitla,,
2,1a de Villa,,
2,Eje 8,,
2,Parque Residencial,,
2,La Laguna,,
2,San Carlos,,
2,FOVISSSTE,,
2,Venustiano Carranza,,
2,Guadalupe Victoria,,
2,DIF,,
2,Ecatepec,,
2,El Carmen,,
2,ISSEMYM,,
2,Agricultura,,
2,San Cristóbal,,
2,UPE,,
2,Casa de Morelos,,
2,Puente de Fierro,,
2,San Martín,,
2,1o de Mayo,,
2,Las Américas,,
3,Pantitlán,,
3,Calle 6,19.5399943,-99.0588028
3,El Barquito,,
3,Maravillas,,
3,Vicente Riva Palacio,,
3,Virgencitas,,
3,Nezahualcóyotl,,
3,Lago de Chapala,,
3,Adolfo López Mateos,,
3,Palacio Municipal,,
3,Sor Juana Inés de la Cruz,,
3,El Castillito,,
3,General Vicente Villada,,
3,Rayito de Sol,,
3,Las Mañanitas,,
3,Rancho Grande,,
3,Bordo de Xochiaca,,
3,Las Torres,,
3,Guerrero Chimalli,,
3,Las Flores,,
3,Canteros,,
3,La Presa,,
3,Embarcadero,,
3,Santa Elena,,
3,Ignacio Manuel Altamirano,,
3,San Pablo,,
3,Los Patos,,
3,Refugio,,
3,Acuitlapilco,,
3,Chimalhuacán,,
4,Terminal La Raza,,
4,Indios Verdes,,
4,Periférico,,
4,Puente Martin Carrera,,
4,Clínica 76,,
4,Vía Morelos,,
4,Monumento a Morelos,,
4,5 de Febrero,,
4,Santa Clara,19.5402313,-99.0587648
4,Cerro Gordo,,
4,Servicios Administrativos,,
4,Clínica 93,,
4,Industrial,,
4,La 5a Aparición,,
4,Tulpetlac,,
4,Siervo de la Nación,,
4,Nuevo Laredo,,
4,Laureles,,
4,La Viga,,
4,San Cristóbal,,
4,Puente de Fierro,,
4,Izcalli Palomas,,
4,Central de Abastos,,
4,Santo Tomas Chiconautla,,
4,Ejido Santo Tomás,,
4,Revolución,,
4,Margarito F. Ayala,,
4,Las Flores,,
4,Bosques,,
4,Terminal UMB,,
