nombre,lat,lon,network,operator
Ciudad Azteca,19.5342996,-99.0272102,Mexibús Línea 1,
Quinto Sol,19.5394989,-99.0251516,Mexibús Línea 1,
Industrial,19.5499929,-99.0205722,Mexibús Línea 1,
UNITEC,19.5539732,-99.019413,Mexibús Línea 1,
A. Torres,19.5582838,-99.0173465,Mexibús Línea 1,
Josefa Ortiz,19.5462788,-99.0221777,Mexibús Línea 1,
Zodíaco,19.5632148,-99.0152467,Mexibús Línea 1,
Vocacional 3,19.5697054,-99.0176823,Mexibús Línea 1,
1° de Mayo,19.5881267,-99.0243807,Mexibús Línea 1,
Adolfo López Mateos,19.5670698,-99.015511,Mexibús Línea 1,
Valle de Ecatepec,19.5730698,-99.0207918,Mexibús Línea 1,
Josefa Ortiz,19.5465029,-99.0227447,Mexibús Línea 1,
Industrial,19.5503166,-99.0210991,Mexibús Línea 1,
Quinto Sol,19.5397187,-99.0256796,Mexibús Línea 1,
Las Américas,19.580554,-99.0244319,Mexibús Línea 1,
UNITEC,19.5548341,-99.0190486,Mexibús Línea 1,
Vocacional 3,19.570439,-99.0182918,Mexibús Línea 1,
1° de Mayo,19.5873459,-99.0248947,Mexibús Línea 1,
Ciudad Azteca,19.5352379,-99.0275168,Mexibús Línea 1,
Hospital,19.5952321,-99.019663,Mexibús Línea 1,
Hospital,19.5944534,-99.0201835,Mexibús Línea 1,
24 Ojo de Agua,19.6616256,-99.0014809,Mexibús Línea 1,Transmasivo
Rayito de Sol,19.4065971,-99.0038076,,Mexibús
19 de Septiembre,19.6105712,-99.0092948,Mexibús Línea 1,
Palomas,19.607328,-99.0115044,Mexibús Línea 1,
Jardines de Morelos,19.6011168,-99.0158501,Mexibús Línea 1,
Jardines de Morelos,19.6003297,-99.0164025,Mexibús Línea 1,
Aquiles Serdán,19.5984804,-99.0179056,Mexibús Línea 1,
Insurgentes,19.625216,-99.0033233,Mexibús Línea 1,
Insurgentes,19.6260588,-99.0029723,Mexibús Línea 1,
(Cerrada) Las Torres,19.6286316,-99.0023126,Mexibús Línea 1,
(Cerrada) Las Torres,19.6295422,-99.0021373,Mexibús Línea 1,
Hidalgo,19.6330283,-99.0020854,MexiBús Línea 1,
Hidalgo,19.6339514,-99.0020642,MexiBús Línea 1,
Cuauhtémoc Sur,19.6380044,-99.0026218,MexiBús Línea 1,
Cuauhtémoc Norte,19.6460865,-99.004974,MexiBús Línea 1,
Cuauhtémoc Norte,19.6469991,-99.0051398,MexiBús Línea 1,
Mariscala-Real del Bosque,19.6288619,-99.135976,Mexibús Línea 2,
Chilpan,19.6146809,-99.1808111,Mexibús Línea 2,
Ecatepec,19.6116301,-99.0593532,Mexibús Línea 2,
DIF,19.6140839,-99.0610717,Mexibús Línea 2,
La Laguna,19.6271717,-99.080694,Mexibús Línea 2,
San Carlos,19.6247904,-99.0769642,Mexibús Línea 2,
Vidrieria,19.606411,-99.1822504,Mexibús Línea 2,
Parque Residencial,19.6299369,-99.0864425,Mexibús Línea 2,
Bosques del Valle,19.6326814,-99.1193801,Mexibús Línea 2,
Coacalco-Berriozábal,19.6308181,-99.124551,Mexibús Línea 2,
Venustiano Carranza,19.6200944,-99.0695302,Mexibús Línea 2,
Bandera Tultitlan,19.6220699,-99.1629897,Mexibús Línea 2,
Villas de San José,19.6296318,-99.1312353,Mexibús Línea 2,
Fuentes del Valle,19.6279646,-99.140126,Mexibús Línea 2,
Fovissste,19.6217885,-99.0721039,Mexibús Línea 2,
Eje 8,19.6315712,-99.0907042,Mexibús Línea 2,
Las Flores-Zacuautitla,19.6339047,-99.0968486,Mexibús Línea 2,
Cartagena,19.624874,-99.1521133,Mexibús Línea 2,
Buenavista,19.6208198,-99.16778,Mexibús Línea 2,
Ciudad Labor,19.6087435,-99.1818462,Mexibús Línea 2,
Lechería,19.5994962,-99.183481,Mexibús Línea 2,
Guadalupe Victoria,19.6188078,-99.06739,Mexibús Línea 2,
Recursos Hidráulicos,19.6172047,-99.1788942,Mexibús Línea 2,
COCEM,19.6198504,-99.1715877,Mexibús Línea 2,
UPE,19.6019098,-99.0418094,Mexibús Línea 2,
Santa Maria,19.6301474,-99.1279943,Mexibús Línea 2,
De la Cruz-San Mateo,19.6260495,-99.1478198,Mexibús Línea 2,
