nombre,lat,lon,sistema,municipio_asignado
20 de Noviembre,19.42932,-99.13402,Metro/Metrobús,
Pino Suárez Sur,19.4261,-99.13421,Metro/Metrobús,
San Pablo,19.42558,-99.1307,Metro/Metrobús,
Mercado Sonora Sur,19.42311,-99.1267,Metro/Metrobús,
Glorieta Cuitláhuac,19.44742,-99.13578,Metro/Metrobús,
Ganaderos,19.35014,-99.11081,Metro/Metrobús,
Ganaderos,19.35014,-99.11095,Metro/Metrobús,
Churubusco Oriente,19.37156,-99.10775,Metro/Metrobús,
Churubusco Oriente,19.37163,-99.10799,Metro/Metrobús,
Aculco,19.37491,-99.10789,Metro/Metrobús,
Aculco,19.37485,-99.10807,Metro/Metrobús,
Apatlaco,19.37808,-99.109,Metro/Metrobús,
Apatlaco,19.37805,-99.10915,Metro/Metrobús,
Canal de Apatlaco,19.38283,-99.11082,Metro/Metrobús,
Canal de Apatlaco,19.38281,-99.11095,Metro/Metrobús,
Colegio de Bachilleres 3,19.38632,-99.11163,Metro/Metrobús,
Colegio de Bachilleres 3,19.38632,-99.11173,Metro/Metrobús,
Recreo,19.39379,-99.11357,Metro/Metrobús,
Recreo,19.39389,-99.11368,Metro/Metrobús,
Moctezuma,19.42631,-99.11136,Metro/Metrobús,
Moctezuma,19.42606,-99.11144,Metro/Metrobús,
San Lázaro Sur,19.4304,-99.11533,Metro/Metrobús,
Río Consulado,19.45359,-99.10834,Metro/Metrobús,
Río Consulado,19.45369,-99.10854,Metro/Metrobús,
Río Santa Coleta,19.45599,-99.10741,Metro/Metrobús,
Río Santa Coleta,19.45608,-99.10756,Metro/Metrobús,
Oriente 101,19.46083,-99.10542,Metro/Metrobús,
Oriente 101,19.4609,-99.10568,Metro/Metrobús,
Victoria,19.4673,-99.10263,Metro/Metrobús,
Victoria,19.46742,-99.10291,Metro/Metrobús,
Talisman,19.471,-99.1011,Metro/Metrobús,
Talisman,19.47108,-99.10141,Metro/Metrobús,
Río de Guadalupe,19.47594,-99.09895,Metro/Metrobús,
Río de Guadalupe,19.47607,-99.0993,Metro/Metrobús,
San Juan de Aragón,19.47984,-99.09731,Metro/Metrobús,
San Juan de Aragón,19.47996,-99.09772,Metro/Metrobús,
Preparatoria 3,19.4833,-99.09583,Metro/Metrobús,
Preparatoria 3,19.4836,-99.09618,Metro/Metrobús,
El Coyol,19.48746,-99.09401,Metro/Metrobús,
El Coyol,19.48746,-99.09447,Metro/Metrobús,
Vasco de Quiroga,19.4932,-99.09159,Metro/Metrobús,
Vasco de Quiroga,19.49335,-99.09202,Metro/Metrobús,
5 de Mayo,19.49699,-99.08996,Metro/Metrobús,
5 de Mayo,19.49716,-99.09044,Metro/Metrobús,
314 Memorial New's Divine,19.50053,-99.08847,Metro/Metrobús,
314 Memorial New's Divine,19.50088,-99.08891,Metro/Metrobús,
Pueblo Sta. Cruz Atoyac,19.37159,-99.16098,Metro/Metrobús,
Tláhuac,19.28602,-99.0142,Metro/Metrobús,
Tlaltenco,19.29435,-99.02403,Metro/Metrobús,
Zapotitlán,19.29666,-99.03431,Metro/Metrobús,
Nopalera,19.29996,-99.04599,Metro/Metrobús,
Olivos,19.30432,-99.05951,Metro/Metrobús,
Tezonco,19.30631,-99.06527,Metro/Metrobús,
Periférico Oriente,19.31761,-99.07451,Metro/Metrobús,
Calle 11,19.32047,-99.08587,Metro/Metrobús,
Lomas Estrella,19.32215,-99.09575,Metro/Metrobús,
San Andrés Tomatlán,19.32815,-99.10452,Metro/Metrobús,
Culhuacán,19.33685,-99.10896,Metro/Metrobús,
Atlalilco,19.35275,-99.10624,Metro/Metrobús,
Mexicaltzingo,19.35776,-99.12314,Metro/Metrobús,
Ermita,19.359820000000006,-99.14163,Metro/Metrobús,
Eje Central,19.36134,-99.15142,Metro/Metrobús,
Parque de los Venados,19.37066,-99.15872,Metro/Metrobús,
Zapata,19.37085,-99.1656,Metro/Metrobús,
