nombre,lat,lon,alcaldia_municipio,num_comercial
16 de Septiembre,19.339366,-99.115945,Coyoacán,7
16 de Septiembre,19.48978,-99.19431,Azcapotzalco,6
16 de Septiembre,19.48978,-99.19431,Azcapotzalco,4
22 de Febrero,19.47736,-99.18422,Azcapotzalco,6
22 de Febrero,19.47787,-99.18515,Azcapotzalco,6
22 de Febrero,19.47736,-99.18422,Azcapotzalco,4
22 de Febrero,19.47787,-99.18515,Azcapotzalco,4
2a cda. de Tula,19.47394,-99.18129,Azcapotzalco,6
2a cda. de Tula,19.47394,-99.18129,Azcapotzalco,4
3ra. cda. Av 503,19.45996,-99.09568,Gustavo A. Madero,4
5 de Febrero,19.48424,-99.11341,Gustavo A. Madero,5
5 de Febrero,19.47993,-99.11575,Gustavo A. Madero,5
5 de Febrero,19.4144,-99.13688,Cuauhtémoc,2
5 de Febrero,19.41373,-99.13703,Cuauhtémoc,2
Acahualtepec,19.35763,-99.00154,Iztapalapa,10
Acatitlán,19.35528,-99.00813,Iztapalapa,10
Aconchi,19.41397,-99.11599,Venustiano Carranza,2
Adolfo Prieto,19.37232,-99.17212,Benito Juárez,3
Agrario,19.332679,-99.108209,Iztapalapa,7
Ahuacatitla,19.48426,-99.18385,Azcapotzalco,6
Ahuacatitla,19.48426,-99.18385,Azcapotzalco,4
Ahuehuete,19.42851,-99.16479,Cuauhtémoc,5
Ahuehuete,19.42804,-99.16518,Cuauhtémoc,5
Ahuehuetes,19.49559,-99.19853,Azcapotzalco,6
Ahuehuetes,19.49559,-99.19853,Azcapotzalco,4
Ajusco,19.35908,-99.15179,Benito Juárez,1
Ajusco,19.35865,-99.15245,Benito Juárez,1
Alfareros,19.50808,-99.2083,Azcapotzalco,6
Alfareros,19.50856,-99.20836,Azcapotzalco,6
Alfareros,19.50808,-99.2083,Azcapotzalco,4
Alfareros,19.50856,-99.20836,Azcapotzalco,4
Álvaro Obregón,19.41657,-99.167,Cuauhtémoc,2
